"fips","mon_year","case_rate_100k","avg_temperature_air_2m_f","avg_humidity_relative_2m_pct","avg_wind_speed_10m_mph","avg_particulate_matter_2p5_ugpm3_x10","tot_precipitation_in"
1003,Apr 2010,0,65.8733333333333,70.6433333333333,4.19,109.66,2.07
1003,Apr 2011,0,69.73,75.0833333333333,5.81666666666667,87.72,0.69
1003,Apr 2012,0,67.9266666666667,69.7066666666667,3.98,81.96,2.37
1003,Apr 2013,0,65.37,79.7233333333333,4.15333333333333,120.07,3.8
1003,Apr 2014,0,65.58,80.0733333333333,5.38,102.92,12.07
1003,Apr 2015,0,70.3533333333333,83.0666666666667,4.51333333333333,85.41,7.26
1003,Apr 2016,0,67.5366666666667,74.8933333333333,4.87,107.17,4.62
1003,Apr 2017,0,68.51,76.86,3.86,103.44,4.16
1003,Apr 2018,0,63.5933333333333,74.5766666666667,5.13,96.29,3.29
1003,Apr 2019,0,65.3933333333333,77.0366666666667,3.16333333333333,77.57,4.58
1003,Apr 2020,NA,67.6966666666667,70.6466666666667,3.43,105.12,3.14
1003,Apr 2021,NA,63.9566666666667,74.0566666666667,6.12,117.83,10.14
1003,Aug 2010,0,80.6935483870968,85.0903225806452,4.08387096774194,185.26,9.09
1003,Aug 2011,0,83.2161290322581,73.7903225806452,2.89032258064516,167.33,1.73
1003,Aug 2012,2.22248964205974,79.1451612903226,82.0161290322581,4.15806451612903,198.13,9.65
1003,Aug 2013,0,78.9709677419355,83.3096774193548,3.48709677419355,204.52,6.02
1003,Aug 2014,0,80.6,78.7870967741935,2.94193548387097,165.09,4.11
1003,Aug 2015,0,81.2032258064516,76.6322580645161,4.29354838709677,147.71,3.25
1003,Aug 2016,0,80.658064516129,85.6677419354839,3.2258064516129,161.03,5.78
1003,Aug 2017,0,79.2290322580645,84.9161290322581,3.28709677419355,161.84,12.92
1003,Aug 2018,0,78.4032258064516,86.1806451612903,2.69677419354839,162.02,6.57
1003,Aug 2019,0,79.6161290322581,83.9741935483871,1.74193548387097,166.33,5.35
1003,Aug 2020,NA,80.0225806451613,84.0838709677419,3.48709677419355,160.43,4.5
1003,Aug 2021,NA,79.6548387096774,85.841935483871,3.80322580645161,206,10.08
1003,Dec 2010,0,45.7064516129032,71.9064516129032,4.81612903225806,63.2,0.93
1003,Dec 2011,0,54.641935483871,81.558064516129,4.1741935483871,69.7,1.98
1003,Dec 2012,0,55.5483870967742,81.6967741935484,4.62903225806452,63.64,3.38
1003,Dec 2013,0,53.5741935483871,82.058064516129,4.89032258064516,90.82,3.74
