,adm2_code,iso_a2,name,code_local,region,latitude_deg,longitude_deg,dst_offset_minutes,max_carbon_monoxide_ppm_x10,min_carbon_monoxide_ppm_x10,avg_carbon_monoxide_ppm_x10,max_sulfur_dioxide_ppb,min_sulfur_dioxide_ppb,avg_sulfur_dioxide_ppb,max_nitrogen_dioxide_ppb,min_nitrogen_dioxide_ppb,avg_nitrogen_dioxide_ppb,max_ozone_ppm_x1000,min_ozone_ppm_x1000,avg_ozone_ppm_x1000,max_particulate_matter_2p5_ugpm3_x10,min_particulate_matter_2p5_ugpm3_x10,avg_particulate_matter_2p5_ugpm3_x10,max_particulate_matter_10_ugpm3,min_particulate_matter_10_ugpm3,avg_particulate_matter_10_ugpm3,max_particulate_matter_1_ugpm3,min_particulate_matter_1_ugpm3,avg_particulate_matter_1_ugpm3,date,fips
169,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3.91,1,1.72,15.28,0.95,4.06,58.12,1,7.67,75.88,1.52,44.97,584.33,0,88.34,82.35,0,12.73,50.11,0,7.17,1/1/2010,1003
170,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,8.01,1,2.17,17.16,0.97,4.31,51.26,0.95,7.77,91.24,1.89,49.85,845.24,0.56,125.86,116.91,0.09,17.91,73.28,0.05,10.58,2/1/2010,1003
171,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,4.02,1,2.07,15.31,0,2.85,68.25,0.34,5.6,103.07,2.6,66.49,376.68,2.53,116.69,57.26,0.4,16.86,32.27,0.15,9.36,3/1/2010,1003
172,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,4.1,1,1.87,12.97,0,2.32,33.9,0,4.85,115.07,12.34,77.14,357.07,0,109.66,50.46,0,16.04,30.66,0,8.37,4/1/2010,1003
173,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3,1,1.4,11.83,0,1.98,38.76,0,4.21,127.83,18.64,72.65,765.48,2.75,139.17,93.59,0.34,19.42,50.92,0.34,9.31,5/1/2010,1003
174,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2.97,1,1.24,11.73,0,2.07,30.76,0,4.03,139.07,23.2,64.85,464.72,0,143.21,65.26,0,18.97,39.53,0,9.43,6/1/2010,1003
175,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2,1,1.1,9.83,0,2.1,20.8,0,3.52,118.68,21.77,63.76,687.94,0,247.61,80.18,0,30.89,39.03,0,12.67,7/1/2010,1003
176,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2,1,1.25,9.8,0,2.09,23.63,0,3.51,140,22.17,66.88,488.41,21.47,185.26,61.73,3.07,23.86,32.83,1.66,11.67,8/1/2010,1003
177,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2.97,1,1.38,12.8,0,2.63,29.87,0,4.05,122.69,16.8,76.28,422.99,0.24,117.29,59.44,0.03,16.69,35.27,0.03,9.28,9/1/2010,1003
178,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3,1,1.34,14.83,0,3.34,45.93,0,4.61,133.62,19.27,77.91,241.23,0,63.96,33.9,0,9.33,20.93,0,4.98,10/1/2010,1003
179,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,5.79,1,1.52,18,0.34,3.88,95.57,0.95,7.5,103.6,9.65,58,533.23,0.03,94.8,73.92,0,13.74,46.87,0,7.55,11/1/2010,1003
180,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3.88,1,1.57,11.48,0.95,3.83,36.78,0.97,7.08,78.19,8.9,44.13,272.6,0,63.2,37.6,0,9.15,23.51,0,5.01,12/1/2010,1003
181,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,4.02,1,1.9,13.42,0.97,4.26,59.61,1,8.45,78.27,1.94,43.88,354.48,0,82.81,49.96,0,11.9,29.93,0,6.74,1/1/2011,1003
182,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,4.17,1,1.87,13.4,0.92,3.57,32.4,1,6.99,95.64,15.73,56.43,510.05,0,109.5,69.94,0,15.69,44.61,0,8.96,2/1/2011,1003
183,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,5.07,1,1.93,12.32,0,2.14,31.93,0.34,4.48,105.13,11.61,67.94,452.11,0,104.86,62.32,0,15.32,39.51,0,8.14,3/1/2011,1003
184,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3,1,1.54,11.76,0,1.57,24.8,0,3.05,114.4,28.46,73.11,307.86,0,87.72,45.6,0,13.14,26.63,0,6.08,4/1/2011,1003
185,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3.97,1,1.35,11.76,0,1.44,29,0,2.64,121.9,36.9,72.36,406.27,0,87.98,56.92,0,12.72,35.33,0,6.81,5/1/2011,1003
186,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,4.93,1,1.53,11.8,0,2.27,29.66,0,4.23,132.83,16.3,68.36,802.93,0,163.72,110.78,0,22.28,69.59,0,12.07,6/1/2011,1003
187,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3,1,1.17,10.8,0,2.1,53.53,0,3.81,131.03,23.3,64.04,623.2,20.69,195.24,71.28,2.34,24.42,37.7,1,11.61,7/1/2011,1003
188,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3.97,1,1.56,10.83,0,2.59,40.73,0,4.38,143.59,25.13,84.06,612.46,0,167.33,84.49,0,21.88,49.56,0,11.6,8/1/2011,1003
189,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2.97,1,1.3,11.8,0,2.38,35.6,0,3.84,130.69,23.8,74.96,429.97,3.85,112.54,64.46,0.27,16.17,37.06,0.17,7.83,9/1/2011,1003
190,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,8.83,1,1.41,16.73,1,3.18,65.83,0,5.73,117.56,5.3,69.16,1573.19,0,83.93,214.16,0,12.14,138.81,0,6.61,10/1/2011,1003
191,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3,1,1.41,10.59,0.34,3.16,45.96,0,4.84,92,22.44,57.35,310.34,0.36,69.88,42.63,0.06,10.41,26.76,0,5.17,11/1/2011,1003
192,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2.95,1,1.6,12.29,0.95,3.66,31.6,1,7.34,73.18,12.52,43.14,264.26,0.21,69.7,37.42,0.03,10.09,22.52,0,5.55,12/1/2011,1003
193,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2.99,1,1.43,12.32,0.95,3.46,38.36,1.02,6.8,82.83,14.7,52.01,217.59,0,60.63,30.37,0,8.86,19.18,0,4.73,1/1/2012,1003
194,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3,1,1.67,10.56,0,3.32,25.36,1,5.69,81.39,11.84,52.98,266.44,0,77.78,36.85,0,11.35,23.26,0,6.1,2/1/2012,1003
195,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,4.03,1,1.6,10.9,0,1.92,32.93,0,4.53,114.9,16.1,65.58,559.27,0,100.86,76.55,0,14.97,49.06,0,7.43,3/1/2012,1003
196,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,4,1,1.64,10,0,2.06,25.03,0,3.82,117.03,22,74.37,275.47,0,81.96,40.38,0,11.91,23.07,0,6.25,4/1/2012,1003
197,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3.97,1,1.7,12.76,0,2.38,28.9,0.03,4.96,137.69,17.37,75.69,573.02,0,127.5,79.33,0,18.12,47.56,0,10.11,5/1/2012,1003
198,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2.03,1,1.31,11.76,0,1.94,24.07,0,3.24,137.59,28.2,71.08,638.67,7.3,162.76,74.03,1.03,21.39,28.93,1,9.9,6/1/2012,1003
199,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2,1,1.05,9.8,0,2.12,21.97,0,3.64,113.73,19.07,61.54,747.82,14.94,235.93,83.69,2,28.7,34,1,12.31,7/1/2012,1003
200,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3,1,1.16,10.76,0,1.86,21.83,0,3.2,117,23.13,63.29,840.59,3.87,198.13,155.44,0,25.85,32,0,10.03,8/1/2012,1003
201,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,6.87,1,1.45,14.7,0,2.51,49.16,0,4.3,122.5,19.57,70.55,913.7,0,105.79,127.2,0,14.85,79.61,0,7.88,9/1/2012,1003
202,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,15.6,1,1.72,19.73,0,3.24,53.46,0,6.06,128.53,0.4,69.9,2779.26,0,112.49,387.06,0,16.01,241.54,0,9.23,10/1/2012,1003
203,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,4.93,1,1.75,16.09,0.95,4.72,36.53,0.97,8.2,99.94,4.19,53.48,611.7,0,104.44,85.42,0,14.74,53.02,0,8.85,11/1/2012,1003
204,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2.03,1,1.44,8.63,0.95,3.31,24.43,0.97,6.33,81.45,16.87,48.84,221.29,0,63.64,31.2,0,9.28,19.07,0,4.98,12/1/2012,1003
205,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,5.75,1,1.7,15.17,0.95,3.65,51.39,0.97,7.51,85.44,2.31,46.39,698.21,0,106.25,95.75,0,15.47,61.56,0,8.36,1/1/2013,1003
206,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2.95,1,1.76,14.16,0.92,3.34,25.46,0.95,5.96,92.74,5.5,58.98,281.76,0,80.68,40.84,0,11.68,22.84,0,6.43,2/1/2013,1003
207,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,4.08,1,1.94,13.45,0,2.32,32.53,0.34,4.08,105.07,3.32,73.02,557.02,0,114.81,77.7,0,16.69,47.87,0,9.06,3/1/2013,1003
208,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,4.34,1,1.65,9.03,0,1.96,29.9,0,3.7,114.06,25.9,71.12,616.47,0,120.07,89.63,0,17.58,48.19,0,9.16,4/1/2013,1003
209,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3,1,1.39,13.76,0,1.78,19.93,0,2.89,115.03,19.4,73.18,360.75,0.4,94.36,50.87,0.07,13.86,28.94,0.03,7.04,5/1/2013,1003
210,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2,1,1.1,9.8,0,1.85,26.03,0,3.2,108.1,27.2,58.58,611.65,19,196.57,95.56,2,25.35,34.1,1,10.29,6/1/2013,1003
211,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2.03,1,1.12,9.76,0,1.88,17.9,0,3.12,122.34,22.24,62.73,735.66,0,207.82,86.87,0,25.74,30.9,0,10.97,7/1/2013,1003
212,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,8.87,1,1.27,11.8,0,2.04,26.7,0,3.7,125.66,13.5,65.19,1081.89,32.53,204.52,146.88,4.66,25.52,94.59,1.66,11.97,8/1/2013,1003
213,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2.97,1,1.31,13.7,0,2.32,36.26,0,3.82,113.9,17.54,70.23,357.62,0,99.49,49.29,0,14.17,30.53,0,7.84,9/1/2013,1003
214,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,6.9,1,1.31,15.73,0,2.99,95.6,0,5.28,104.28,12.1,65.97,1401.6,0,92.72,195.28,0,13.28,121.35,0,7.44,10/1/2013,1003
215,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3.88,1,1.44,18.12,1,3.76,32.06,1,5.85,91.06,3.87,50.45,614.85,0.47,86.31,84.76,0.08,12.54,53.7,0.05,6.8,11/1/2013,1003
216,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2.92,1,1.48,15.17,0.95,3.75,46.86,0.95,7.63,69.06,2.05,38.99,468.52,0.36,90.82,65.32,0.05,13.26,40.68,0.03,7.06,12/1/2013,1003
217,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,6.7,1,1.54,14.27,0.97,3.77,31.53,1,6.44,68.09,1.63,44.62,1077.93,0,97.58,151.43,0,13.86,93.68,0,8.2,1/1/2014,1003
218,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3.95,1,1.77,15.24,0.92,3.58,29.34,0.97,7.33,86.9,1.42,47.52,348.18,0,86.17,48.05,0,12.4,30.4,0,7.08,2/1/2014,1003
219,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,5.03,1,2,13.8,0,2.46,46.73,0,5.62,103.07,3.07,64.28,548.8,0,132.08,78.58,0,19.06,47.51,0,10.52,3/1/2014,1003
220,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3.2,1,1.49,11.87,0,1.76,25.4,0,3.36,104.93,20.63,70.99,424.78,0.34,102.92,60.69,0,15.14,34.97,0,7.31,4/1/2014,1003
221,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3.03,1,1.55,10.83,0,2.04,35.97,0,3.85,120.2,30.47,77.28,362.48,0.07,106.17,51.2,0,15.19,31.13,0,8.18,5/1/2014,1003
222,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2,1,1.1,9.83,0,2.06,29.1,0,3.56,110.87,25,61.76,774.02,0,147.11,107.17,0,18.98,31.9,0,8.66,6/1/2014,1003
223,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3.07,1,1.38,9.76,0,2.32,25.7,0,3.41,136.33,23.07,78.83,720.14,9.56,218.19,93.03,1,27.46,37.87,0.66,13.18,7/1/2014,1003
224,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3,1,1.35,7.9,0,2.25,22.83,0,3.69,124.66,23.03,72.02,491.55,14.82,165.09,59.73,1.69,21.36,29.62,1.34,10.6,8/1/2014,1003
225,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2,1,1.09,9.8,0,2.21,27.76,0,3.73,108.31,13.54,64.73,349.64,11.9,116.77,46,1.97,15.45,27,0.97,7.8,9/1/2014,1003
226,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3.27,1,1.35,15.7,0,2.99,64.34,0,4.95,111.69,13.87,67.3,379.98,0,68.26,53.1,0,9.73,33.1,0,5.4,10/1/2014,1003
227,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,5.72,1,1.81,17.09,0.95,4.09,42.07,0.95,7.25,88.64,3.57,50.37,741.48,0,136.44,101.66,0,19.24,64.47,0,11.48,11/1/2014,1003
228,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,6.2,1,1.81,14.32,0.95,3.99,42.57,1,8.35,72.51,1.76,37.24,868.68,0.67,123.09,119.21,0.09,17.36,75.95,0.05,10.4,12/1/2014,1003
229,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,9.54,1,2,15.96,0.95,4.21,42.26,1.02,8.34,75.53,1,38.53,1843.22,0,153.59,256.81,0,21.68,160.5,0,13.02,1/1/2015,1003
230,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,8.77,1,2.07,13.43,0.97,3.7,39.39,0.95,6.54,81.24,1.94,48.7,1122.74,0.53,127.11,154.34,0.09,18.05,98.37,0,10.57,2/1/2015,1003
231,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,4.1,1,1.69,14.32,0,2.27,51.27,0,5.37,99,12.17,57.57,361.04,0,98.44,51.13,0,14.35,31.1,0,7.64,3/1/2015,1003
232,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2.07,1,1.36,10.7,0,1.61,20.63,0.03,3.6,111.03,14.74,62.65,447.39,0,85.41,62.76,0,12.34,34.83,0,6.23,4/1/2015,1003
233,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3.03,1,1.4,8.9,0,2.02,25.83,0,3.98,120.17,18.34,69.43,522.93,0,118.07,61.5,0,15.98,28.73,0,8.08,5/1/2015,1003
234,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,4.13,1,1.3,9.83,0,2.11,26.87,0,3.87,126.03,19.07,65.93,707.48,12.13,185.18,95.93,1.69,23.33,57.95,1,10.76,6/1/2015,1003
235,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,5.9,1,1.35,11.76,0,2.29,26.8,0,3.82,132.03,23.07,66.67,783.51,0,215.1,105.51,0,27.12,66.39,0,12.38,7/1/2015,1003
236,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3,1,1.38,9.83,0,2.09,22.7,0,3.46,133.19,11.37,70.91,565.85,3.1,147.71,65.76,0.34,19.24,39.87,0.34,9.76,8/1/2015,1003
237,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3.97,1,1.29,11.83,0,2.23,32.76,0,3.81,120.63,17.73,72.4,354.93,4.64,101.56,50,0.97,13.95,30.97,0.07,7.5,9/1/2015,1003
238,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,5.17,1,1.27,14.76,0,2.75,59.39,0,4.61,126.41,8.01,66.8,812.07,0,84.58,113.61,0,12.58,70.08,0,6.29,10/1/2015,1003
239,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2.03,1,1.26,14.16,0.34,3.7,46.82,0.05,6.85,89.7,4.83,51.1,182.2,0,60.88,25.51,0,8.96,15.66,0,4.68,11/1/2015,1003
240,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,17.02,1,1.7,14.27,0.95,3.12,56.07,1,6.98,90.62,1.68,47.55,2834.89,0,144.68,388.69,0,20.64,248.34,0,11.64,12/1/2015,1003
241,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2.95,1,1.8,13.19,0.97,3.71,35.84,1,6.69,84.94,10.67,45.45,253.6,0,61.31,34.74,0,8.87,22.18,0,4.92,1/1/2016,1003
242,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2.97,1,1.66,7.68,0.95,3.01,24.34,0.97,5.08,89.18,28.06,61.44,248.13,0,58.9,35.36,0,8.63,21.28,0,4.55,2/1/2016,1003
243,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,5.03,1,1.58,10.83,0,1.83,34.73,0,3.99,100.49,21.76,62.4,650.68,0,100,90.27,0,14.98,56.17,0,7.18,3/1/2016,1003
244,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,5.93,1,1.62,9.9,0,1.99,32.37,0,4.33,110.17,19.07,71.42,1087.52,0.5,107.17,152.01,0.07,15.78,94.15,0.03,8.17,4/1/2016,1003
245,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3.1,1,1.49,9.83,0,2.11,40.39,0,4.04,124.07,20.13,75.1,436.57,0,107.43,63.03,0,15.42,35.34,0,8.59,5/1/2016,1003
246,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3,1,1.23,9.83,0,2.07,26.73,0,3.7,128.03,23.93,65.13,638.39,8.26,126.03,73.6,1.03,16.76,33.76,0.69,8.43,6/1/2016,1003
247,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2.97,1,1.06,7.83,0,1.75,38.76,0,3.2,122.87,18.83,57.79,645.53,0,150.22,72.5,0,18.47,28.8,0,8.01,7/1/2016,1003
248,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,4.9,0,1.26,10.8,0,1.96,31.63,0,3.73,126.38,13.93,63.7,759.4,1.93,161.03,104.31,0,21.4,66.29,0,10.78,8/1/2016,1003
249,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3.97,1,1.38,11.87,0,2.45,39.87,0,4.18,137.31,14.64,71.27,355.01,3.4,108.65,49.17,0.07,14.93,30.56,0.03,8.16,9/1/2016,1003
250,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,4,1,1.29,16.8,0,3.2,89.86,0,6.33,117.75,9.7,71.51,320.05,0,74.89,44.3,0,10.93,28.17,0,5.89,10/1/2016,1003
251,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,5.23,1,1.43,13.76,0.95,4.17,55.38,0.95,7.44,99.93,2.23,56.22,386.18,0,95.58,55.32,0,13.92,32.57,0,7.59,11/1/2016,1003
252,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2.95,1,1.39,9.47,0.95,3.41,40.86,1,6.84,67.08,0.85,40.8,269.98,0.05,74.76,38.74,0,10.85,22.77,0,6.03,12/1/2016,1003
253,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,4.96,1,1.39,9.59,0.95,2.58,63.32,0.97,5.84,84.03,14.24,51.93,488.42,0,77.4,66.96,0,11.41,42.9,0,5.87,1/1/2017,1003
254,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,5.83,1,1.59,10.29,0.92,3.1,49.71,0.92,6.69,93.07,14.79,58.49,724.7,0,82.95,99.6,0,11.9,63.75,0,6.73,2/1/2017,1003
255,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,4.97,1,1.58,12.4,0,2.13,72.58,0,4.2,100.97,0.57,70.29,388.78,0,90.27,54.7,0,13.74,33.8,0,6.22,3/1/2017,1003
256,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3.07,1,1.29,12.76,0,1.91,58.2,0,4.13,113,9.76,74.78,385.25,0,103.44,54.18,0,15.38,31.56,0,7.07,4/1/2017,1003
257,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3,1,1.29,13.76,0,2.23,73.76,0,4.24,140.28,25.34,81.61,560.89,0,146.04,65.87,0,19.19,26.97,0,8.62,5/1/2017,1003
258,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2,1,1.07,8.9,0,1.94,42.5,0,3.26,125,22.13,63.32,511.86,0,164.76,72.13,0,21.61,25.31,0,8.51,6/1/2017,1003
259,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3,0.66,1.26,10.76,0,2.4,35.8,0,3.76,141.78,23.2,69.72,747.82,0,184.28,85.92,0,22.62,31.63,0,9.82,7/1/2017,1003
260,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3,1,1.22,9.8,0,2.09,33.83,0,3.49,126.62,16.7,64.76,613.72,16.06,161.84,79.87,2.34,20.88,28.24,1,9.46,8/1/2017,1003
261,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,4,1,1.52,12.8,0,2.72,38.29,0,4.51,125.44,6.71,75.64,523.83,0.2,99.27,71.46,0,14.12,45.66,0,7.99,9/1/2017,1003
262,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3,1,1.18,9.87,0,2.1,24.7,0,3.39,100.69,8.34,67.06,375.59,0,80.48,72.31,0,12.3,24.73,0,4.95,10/1/2017,1003
263,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,13.25,1,1.63,17.92,0,3.75,44.47,0,7.49,95.07,3.45,56.16,2473.9,0.79,110.99,345.74,0.03,15.7,214.79,0,9.37,11/1/2017,1003
264,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2.03,1,1.42,9.52,0.95,3.2,35.53,0.98,7.07,77.18,1.81,43.2,282.42,0,73.36,40.42,0,10.55,23.9,0,5.99,12/1/2017,1003
265,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2.95,1,1.49,11.35,0.95,3.08,34.01,1,6.73,77.86,4.24,47.13,317.04,0.21,82.71,44.49,0.03,12.1,27.51,0,6.46,1/1/2018,1003
266,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2.03,1,1.26,6.82,0.92,2.43,24.78,0.95,4.84,79.99,13.95,52.79,233.48,0.28,83.01,32.95,0.03,12.52,19.49,0,5.94,2/1/2018,1003
267,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,4.07,1,1.56,11.76,0,2.01,50.03,0,3.57,100.97,26.1,73.23,338.95,0,87.31,47.16,0,13.13,29.5,0,6.22,3/1/2018,1003
268,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3.2,1,1.63,9.83,0,2.12,26.97,0,3.38,118,22.3,80.14,321.59,0,96.29,44.83,0,14.09,27.87,0,7.33,4/1/2018,1003
269,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,11.73,1,1.56,14.73,0,2.31,47.99,0,4.45,131.29,3.11,80.16,1464.37,0,147.48,202.65,0,21.04,127.64,0,11.8,5/1/2018,1003
270,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3.9,1,1.21,14.7,0,2.31,25.87,0,3.5,137.25,26.03,66.69,734.89,1.38,167.94,95.71,0,21.08,53.66,0,9.46,6/1/2018,1003
271,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,5,1,1.54,11.76,0,2.73,32.66,0,4.42,159.28,20.66,82.15,873.41,3.34,260.98,103.51,0.17,32.96,64.45,0.1,16.27,7/1/2018,1003
272,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,4.9,1,1.22,8.83,0,1.95,35.83,0,3.56,123.28,17.03,64.68,610.86,21.16,162.02,84.75,3,20.94,52.59,1,9.95,8/1/2018,1003
273,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3.93,1,1.08,11.83,0,1.97,32.97,0,3.4,130.34,16.2,62.98,566.99,0,104.54,78.33,0,14.01,49.53,0,6.53,9/1/2018,1003
274,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,4.97,1,1.33,14.66,0,2.55,42.97,0,4.81,113.66,3.67,67.63,686.88,0,110.84,95.59,0,16.06,60.09,0,8.26,10/1/2018,1003
275,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2.92,1,1.32,15.12,0,3.5,47.11,0.95,6.67,98.38,4.75,53.41,371.46,0,83.11,52.37,0,12.14,31.97,0,6.54,11/1/2018,1003
276,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2.97,1,1.25,11.4,0.95,2.9,40.22,0.95,7.17,79.22,3.69,49.95,251.03,0,69.41,35.49,0,10.24,20.64,0,5.15,12/1/2018,1003
277,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3.21,1,1.37,13.19,0.95,3.57,67.59,0.95,7.87,85.56,3.45,51.05,374.56,0,79.76,51.6,0,11.68,32.62,0,6.16,1/1/2019,1003
278,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,2,1,1.25,10.48,0.92,2.71,21.1,0.95,5.15,81.31,13.28,54.78,292.42,0.17,80.33,39.87,0.02,11.88,18.18,0,5.74,2/1/2019,1003
279,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,4.99,1,1.74,12.83,0,2.28,42.3,0,4.34,106.66,13.05,71.28,447.81,0,94.6,63.13,0,13.88,39.09,0,7.2,3/1/2019,1003
280,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3,1,1.44,9.83,0,1.89,45.63,0,3.57,123.97,23.64,81.3,363.74,0,77.57,49.99,0,11.61,31.42,0,5.53,4/1/2019,1003
281,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,4.1,1,1.23,10.83,0,1.72,62.46,0,3.06,127.93,27.71,79.93,496.12,0,89.63,69.18,0,13.05,43.23,0,6.59,5/1/2019,1003
282,USA-01003,US,Baldwin,1003,AL,30.640355,-87.708059,0,3,1,1.39,9.8,0,1.86,18.63,0,3.07,132.69,29,72.29,767.22,0.91,221.51,95.18,0.13,28.8,47.29,0.07,12.88,6/1/2019,1003
