"fips","month_year","case_rate_100k","temperature","precipitation","pm2p5","wind_speed","humidity","lag_temperature","lag_precipitation","lag_pm2p5","lag_humidity","lag_wind_speed"
12101,"01/2010",0,51.658064516129,2.46,135.39,5.38064516129032,70.2,NA,NA,NA,NA,NA
12103,"01/2010",0,53.4161290322581,2.46,104.46,7.63870967741935,72.5129032258065,NA,NA,NA,NA,NA
12105,"01/2010",0,53.6741935483871,1.09,145.66,5.32903225806452,74.9161290322581,NA,NA,NA,NA,NA
12107,"01/2010",0,50.7258064516129,2.51,148.52,4.65483870967742,69.9677419354839,NA,NA,NA,NA,NA
12109,"01/2010",0,49.5774193548387,3.02,123.42,6.30967741935484,74.3935483870968,NA,NA,NA,NA,NA
12111,"01/2010",0,56.1193548387097,1.28,119.75,6.50645161290323,75.3193548387097,NA,NA,NA,NA,NA
12113,"01/2010",0,44.8322580645161,6.19,101.83,7.91612903225806,70.1677419354839,NA,NA,NA,NA,NA
12115,"01/2010",0,54.5967741935484,2.69,118.49,5.6258064516129,78.1,NA,NA,NA,NA,NA
12117,"01/2010",0,52.6516129032258,2.95,154.25,6.06774193548387,70.9322580645161,NA,NA,NA,NA,NA
12121,"01/2010",0,46.6645161290323,6.12,193.31,7.74193548387097,69.3612903225806,NA,NA,NA,NA,NA
12123,"01/2010",0,47.6,5.22,116.33,9.33870967741935,72.2806451612903,NA,NA,NA,NA,NA
12125,"01/2010",0,47.5129032258065,3.89,298.83,3.96129032258065,72.8451612903226,NA,NA,NA,NA,NA
12127,"01/2010",0,51.0806451612903,3.66,129.62,4.25161290322581,75.1516129032258,NA,NA,NA,NA,NA
12129,"01/2010",0,47.3032258064516,6.66,363.38,7.2741935483871,73.6387096774194,NA,NA,NA,NA,NA
12131,"01/2010",0,43.3741935483871,6.6,93.12,5.1,76.1451612903226,NA,NA,NA,NA,NA
13001,"01/2010",0,44.7064516129032,5.71,109.81,5.79032258064516,69.4483870967742,NA,NA,NA,NA,NA
13019,"01/2010",0,46.358064516129,4.64,112.4,6.39032258064516,67.8258064516129,NA,NA,NA,NA,NA
13029,"01/2010",0,44.3064516129032,5.04,146.46,5.22903225806452,69.4774193548387,NA,NA,NA,NA,NA
